,me_change
0,986275.1875
1,848171.9375
2,765942.25
3,710742.25
4,665518.0
5,620416.0
6,582860.6875
7,552107.625
8,526685.5625
9,504652.84375
10,485176.0
11,471102.4375
12,467753.15625
13,458212.90625
14,451477.8125
15,446038.21875
16,442695.9375
17,439808.5625
18,435201.0
19,432003.75
20,430113.40625
21,427326.0625
22,425571.9375
23,425702.34375
24,425847.90625
25,424820.0
26,422955.875
27,420129.5625
28,416514.71875
29,412113.5625
30,407699.46875
31,403518.1875
32,399377.625
33,396490.9375
34,394165.4375
35,391713.9375
36,389744.1875
37,387931.0
38,386271.28125
39,384737.0
40,383460.875
41,382139.0625
42,380853.65625
43,379616.75
44,378182.46875
45,376373.65625
46,374671.09375
47,372960.5
48,371245.875
49,369552.5625
50,367866.1875
51,366182.09375
52,364497.21875
53,362807.5
54,361109.8125
55,359427.3125
56,357747.6875
57,356067.9375
58,354392.96875
59,352726.875
60,351067.625
61,349419.15625
62,347782.75
63,346152.03125
64,344527.3125
65,342904.25
66,341280.09375
67,339658.9375
68,338037.03125
69,336411.15625
70,334789.875
71,333180.21875
72,331639.53125
73,330082.71875
74,328507.90625
75,326917.5625
76,325316.875
77,323705.6875
78,322085.34375
79,320484.78125
80,318905.3125
81,317322.75
82,315738.9375
83,314154.0625
84,312563.40625
85,310960.1875
86,309352.8125
87,307739.8125
88,306121.3125
89,304532.65625
90,302945.15625
91,301347.6875
92,299733.4375
93,298115.34375
94,296490.6875
95,294862.96875
96,293231.28125
97,291600.0625
98,289991.4375
99,288372.84375
100,286743.21875
101,285117.78125
102,283498.875
103,281871.8125
104,280239.6875
105,278637.25
106,277139.5625
107,275632.6875
108,274148.625
109,272722.75
110,271319.34375
111,269950.625
112,268628.71875
113,267337.71875
114,266032.25
115,264713.71875
116,263391.1875
117,262088.0625
118,260788.78125
119,259545.515625
120,258269.25
121,257023.328125
122,255771.015625
123,254564.78125
124,253345.3125
125,252108.96875
126,250871.5625
127,249624.796875
128,248413.578125
129,247199.390625
130,245992.703125
131,244795.46875
132,243622.5625
133,242459.546875
134,241326.0
135,240157.890625
136,238989.96875
137,237835.265625
138,236664.625
139,235485.0625
140,234350.578125
141,233203.875
142,232052.15625
143,230926.734375
144,229801.21875
145,228659.234375
146,227510.703125
147,226372.921875
148,225223.890625
149,224090.484375
150,222965.5
151,221835.890625
152,220836.953125
153,219951.765625
154,219067.734375
155,218154.375
156,217306.0
157,216511.40625
158,215747.796875
159,214995.75
160,214249.46875
161,213487.78125
162,212720.625
163,211954.375
164,211182.296875
165,210411.1875
166,209653.421875
167,208909.375
168,208176.5625
169,207464.65625
170,206751.75
171,206031.21875
172,205305.34375
173,204587.53125
174,203866.703125
175,203141.9375
176,202432.875
177,201711.03125
178,201010.203125
179,200306.75
180,199607.40625
181,198913.03125
182,198211.21875
183,197519.234375
184,196821.125
185,196137.046875
186,195442.84375
187,194757.75
188,194071.046875
189,193387.453125
190,192701.75
191,192015.171875
192,191339.671875
193,190667.015625
194,189980.75
195,189298.84375
196,188637.046875
197,187945.484375
198,187290.34375
199,186623.09375
200,185942.46875
201,185253.90625
202,184583.203125
203,183919.84375
204,183244.65625
205,182568.59375
206,181906.09375
207,181225.90625
208,180576.75
209,179917.046875
210,179232.4375
211,178559.125
212,177899.96875
213,177220.71875
214,176567.84375
215,175928.15625
216,175267.71875
217,174645.046875
218,174004.84375
219,173340.78125
220,172720.59375
221,172086.3125
222,171430.890625
223,170807.9375
224,170182.640625
225,169545.578125
226,168937.15625
227,168339.8125
228,167726.109375
229,167119.375
230,166533.640625
231,165931.640625
232,165342.75
233,164752.0625
234,164174.40625
235,163581.8125
236,163007.171875
237,162425.65625
238,161838.625
239,161265.4375
240,160677.4375
241,160101.296875
242,159534.59375
243,158953.90625
244,158406.265625
245,157836.4375
246,157301.28125
247,156756.484375
248,156209.796875
249,155683.390625
250,155145.609375
251,154618.1875
252,154093.6875
253,153565.984375
254,153028.359375
255,152435.953125
256,151847.0
257,151274.875
258,150692.5
259,150087.171875
260,149494.125
261,148893.75
262,148292.234375
263,147688.0
264,147081.828125
265,146474.1875
266,145865.59375
267,145264.515625
268,144641.21875
269,144024.71875
270,143397.21875
271,142772.21875
272,142181.46875
273,141595.609375
274,141007.0625
275,140421.0
276,139840.6875
277,139266.703125
278,138654.671875
279,138034.21875
280,137424.375
281,136818.96875
282,136212.703125
283,135604.421875
284,134977.53125
285,134343.359375
286,133708.265625
287,133072.1875
288,132437.09375
289,131807.9375
290,131184.9375
291,130562.640625
292,129945.796875
293,129331.125
294,128718.859375
295,128107.0390625
296,127497.5625
297,126889.3671875
298,126284.828125
299,125681.640625
300,125082.1484375
301,124485.234375
302,123890.8203125
303,123296.625
304,122701.9921875
305,122103.25
306,121505.3359375
307,120911.7578125
308,120330.359375
309,119749.3984375
310,119171.21875
311,118595.7421875
312,118024.5625
313,117457.8828125
314,116893.328125
315,116330.0625
316,115769.7890625
317,115212.5078125
318,114657.53125
319,114102.890625
320,113550.2734375
321,113007.453125
322,112466.578125
323,111927.2890625
324,111393.796875
325,110865.4375
326,110331.7734375
327,109798.7890625
328,109268.5078125
329,108739.1484375
330,108210.578125
331,107683.71875
332,107180.109375
333,106692.40625
334,106197.703125
335,105700.734375
336,105213.703125
337,104730.15625
338,104248.890625
339,103769.46875
340,103292.2421875
341,102817.5546875
342,102347.0234375
343,101882.1171875
344,101423.4609375
345,100967.5
346,100515.71875
347,100068.140625
348,99624.1328125
349,99182.6015625
350,98759.984375
351,98326.3984375
352,97886.359375
353,97455.609375
354,97037.9921875
355,96622.0078125
356,96209.7890625
357,95799.0
358,95388.3671875
359,94976.5234375
360,94570.875
361,94175.828125
362,93776.3125
363,93375.515625
364,92991.6796875
365,92611.5546875
366,92220.4140625
367,91834.1640625
368,91457.8046875
369,91082.3359375
370,90707.1640625
371,90332.0546875
372,89956.9921875
373,89581.6171875
374,89211.46875
375,88860.59375
376,88495.2265625
377,88154.203125
378,87809.546875
379,87459.78125
380,87103.734375
381,86743.8125
382,86381.671875
383,86110.1796875
384,85750.7734375
385,85371.8515625
386,85057.6015625
387,84736.8515625
388,84415.7109375
389,84089.4609375
390,83757.9921875
391,83421.53125
392,83141.3359375
393,82817.2890625
394,82487.046875
395,82195.6875
396,81895.6484375
397,81585.7734375
398,81271.140625
399,80953.3125
400,80747.8828125
401,80440.1953125
402,80082.109375
403,79814.4296875
404,79537.734375
405,79249.453125
406,78956.8515625
407,78657.859375
408,78404.6328125
409,78110.3359375
410,77835.234375
411,77582.140625
412,77318.0703125
413,77042.0234375
414,76756.5625
415,76461.5
416,76246.953125
417,75986.5
418,75654.7109375
419,75447.8515625
420,75228.453125
421,75025.6171875
422,74727.046875
423,74403.4609375
424,74165.59375
425,73976.125
426,73717.609375
427,73399.15625
428,73163.1171875
429,73020.9453125
430,72775.015625
431,72426.203125
432,72238.5703125
433,72082.3828125
434,71859.2421875
435,71579.5
436,71250.2734375
437,71086.984375
438,70927.3046875
439,70652.96875
440,70334.8671875
441,70140.0078125
442,69939.46875
443,69683.2265625
444,69451.1796875
445,69235.53125
446,68995.359375
447,68749.890625
448,68526.03125
449,68291.71875
450,68049.8828125
451,67801.53125
452,67548.578125
453,67292.765625
454,67073.8359375
455,66801.3515625
456,66562.8828125
457,66320.9140625
458,66099.4921875
459,65852.65625
460,65622.28125
461,65387.9296875
462,65151.0078125
463,64914.96484375
464,64667.94140625
465,64424.55859375
466,64214.26171875
467,63956.62109375
468,63716.4453125
469,63467.6015625
470,63219.5078125
471,63000.5390625
472,62755.796875
473,62527.421875
474,62369.765625
475,62077.52734375
476,61850.53125
477,61629.3671875
478,61416.45703125
479,61203.4296875
480,61013.3515625
481,60787.828125
482,60628.34375
483,60433.0234375
484,60190.30859375
485,59943.17578125
486,59846.265625
487,59582.828125
488,59353.2578125
489,59204.13671875
490,59011.79296875
491,58788.484375
492,58584.44921875
493,58368.1953125
494,58170.4921875
495,57997.25390625
496,57770.890625
497,57434.375
498,57091.515625
499,56779.81640625
500,56464.8984375
501,56190.8515625
502,55988.23046875
503,55747.87890625
504,55443.6328125
505,55091.4609375
506,54735.4609375
507,54407.25
508,54119.140625
509,53842.3515625
510,53565.3984375
511,53278.125
512,52975.75390625
513,52661.328125
514,52341.37890625
515,52036.265625
516,51749.703125
517,51467.25
518,51185.21484375
519,50900.7109375
520,50612.41796875
521,50322.546875
522,50032.4609375
523,49745.60546875
524,49466.4296875
525,49196.59765625
526,48929.98046875
527,48662.65234375
528,48393.99609375
529,48133.140625
530,47872.60546875
531,47613.0390625
532,47353.1875
533,47101.515625
534,46850.1953125
535,46598.984375
536,46348.453125
537,46099.15625
538,45859.578125
539,45616.7265625
540,45369.578125
541,45122.73828125
542,44882.80859375
543,44643.55859375
544,44404.3046875
545,44164.94140625
546,43925.953125
547,43690.09765625
548,43454.8203125
549,43215.53125
550,42978.7265625
551,42742.18359375
552,42505.734375
553,42269.9375
554,42025.203125
555,41778.87109375
556,41531.32421875
557,41282.49609375
558,41032.48828125
559,40782.8515625
560,40531.92578125
561,40276.5703125
