,me_change
0,1717676.75
1,1641129.75
2,1578780.75
3,1536383.375
4,1506049.375
5,1464405.375
6,1432498.125
7,1384423.75
8,1349436.625
9,1329889.75
10,1313531.25
11,1290883.5
12,1270189.375
13,1248815.875
14,1224280.5
15,1195849.875
16,1165732.25
17,1135743.125
18,1105484.875
19,1076282.0
20,1058942.75
21,1045923.9375
22,1031815.6875
23,1016924.0625
24,1003138.5625
25,990116.875
26,976824.1875
27,964336.1875
28,951337.0625
29,938304.3125
30,925439.25
31,914976.0
32,907371.9375
33,901191.625
34,896066.875
35,891667.1875
36,887872.375
37,884062.625
38,879318.375
39,874216.25
40,868991.8125
41,863990.4375
42,859771.25
43,855614.625
44,853931.375
45,852027.5
46,849312.0625
47,845854.6875
48,841688.3125
49,838331.8125
50,836314.0
51,834235.4375
52,831943.8125
53,829325.5
54,826465.5
55,823417.0
56,820440.75
57,817692.625
58,815595.625
59,813038.0625
60,810419.875
61,808684.75
62,806815.75
63,804549.0
64,802042.375
65,799624.0
66,797928.875
67,795848.75
68,793724.0625
69,792760.0625
70,791519.375
71,789929.1875
72,788008.125
73,785949.125
74,784661.125
75,782854.875
76,781136.5625
77,779507.0
78,777582.5
79,775887.5625
80,774385.25
81,772586.0
82,771070.9375
83,769459.8125
84,767620.5
85,766196.625
86,764512.0625
87,763088.3125
88,761072.0625
89,759183.5625
90,757722.875
91,755742.5625
92,753986.0625
93,752506.125
94,750438.1875
95,748667.3125
96,747117.4375
97,745040.25
98,743693.3125
99,742188.875
100,740346.9375
101,738266.9375
102,736056.9375
103,733882.6875
104,728866.0
105,723855.1875
106,718823.375
107,713334.125
108,707418.0
109,701432.8125
110,695474.875
111,689987.9375
112,684648.5
113,678864.4375
114,673587.375
115,668678.6875
116,664043.8125
117,658931.9375
118,651924.6875
119,644468.75
120,632478.125
121,620680.0625
122,608892.0
123,597451.5
124,585669.3125
125,574610.3125
126,562830.125
127,551726.5
128,541802.75
129,533174.3125
130,526157.5
131,519290.375
132,512455.53125
133,505847.34375
134,499439.90625
135,493004.34375
136,486398.5625
137,479524.03125
138,472700.75
139,465661.15625
140,458623.03125
141,452076.40625
142,445867.90625
143,439827.65625
144,434138.5625
145,429198.65625
146,424295.09375
147,419755.21875
148,415660.53125
149,411396.125
150,406228.0
151,400707.0625
152,395517.125
153,390671.0625
154,385956.4375
155,381128.96875
156,376461.5
157,371827.15625
158,367093.28125
159,362113.0625
160,355606.0
161,347345.15625
162,339140.59375
163,330558.1875
164,322990.5
165,315757.78125
166,306502.21875
167,298084.78125
168,290198.65625
169,283505.34375
170,280007.46875
171,281848.78125
172,284048.125
173,284890.96875
174,282625.0625
175,278117.375
176,272017.8125
177,266115.84375
178,263587.34375
179,261957.890625
180,260873.03125
181,258658.1875
182,256316.40625
183,254167.9375
184,252186.046875
185,249780.921875
186,247580.375
187,245285.90625
188,243055.28125
189,241015.09375
190,238899.203125
191,236632.96875
192,234185.375
193,232017.953125
194,230291.515625
195,229096.1875
196,227945.875
197,226782.375
198,225615.796875
199,224476.0625
200,223342.5
201,222235.96875
202,221162.375
203,220200.6875
204,219257.109375
205,218316.96875
206,217551.71875
207,216844.328125
208,215977.5625
209,214959.484375
210,213882.84375
211,213012.140625
212,212102.234375
213,211173.328125
214,210186.0
215,209198.078125
216,208251.953125
217,207366.140625
218,206535.265625
219,205903.6875
220,204980.875
221,204113.71875
222,203294.71875
223,202485.078125
224,201687.359375
225,200902.703125
226,200133.21875
227,199370.15625
228,198612.984375
229,197857.4375
230,197103.21875
231,196351.34375
232,195603.0625
233,194859.34375
234,194117.015625
235,193454.984375
236,192752.734375
237,192019.03125
238,191364.578125
239,190708.984375
240,190049.71875
241,189387.9375
242,188723.34375
243,188059.015625
244,187408.1875
245,186778.15625
246,186157.765625
247,185598.609375
248,185179.203125
249,184698.71875
250,184265.375
251,183824.15625
252,183438.828125
253,182987.484375
254,182590.59375
255,182228.40625
256,181824.46875
257,181448.71875
258,181056.84375
259,180710.4375
260,180342.34375
261,179952.171875
262,179651.453125
263,179269.953125
264,178890.796875
265,178563.203125
266,178216.25
267,177854.34375
268,177483.0625
269,177181.796875
270,176817.796875
271,176482.640625
272,176175.296875
273,175853.015625
274,175516.015625
275,175165.125
276,174806.0
277,174463.625
278,174124.046875
279,173838.109375
280,173540.875
281,173225.4375
282,172893.359375
283,172553.4375
284,172216.640625
285,172020.3125
286,171679.015625
287,171322.6875
288,171054.453125
289,170778.15625
290,170489.953125
291,170188.875
292,169876.96875
293,169558.125
294,169234.953125
295,169022.578125
296,168713.5
297,168372.75
298,168113.96875
299,167844.078125
300,167561.203125
301,167265.78125
302,166951.828125
303,166615.1875
304,166352.359375
305,165996.96875
306,165689.015625
307,165400.84375
308,165101.75
309,164792.984375
310,164476.21875
311,164154.390625
312,163831.265625
313,163510.21875
314,163187.28125
315,162861.359375
316,162532.140625
317,162225.359375
318,161883.03125
319,161570.859375
320,161260.671875
321,160947.796875
322,160630.4375
323,160307.53125
324,160079.03125
325,159719.59375
326,159429.15625
327,159157.75
328,158863.46875
329,158551.03125
330,158231.171875
331,157911.25
332,157597.9375
333,157296.203125
334,157052.828125
335,156731.921875
336,156461.375
337,156187.96875
338,155911.46875
339,155632.828125
340,155352.671875
341,155071.21875
342,154788.9375
343,154571.4375
344,154252.75
345,153999.28125
346,153743.578125
347,153479.421875
348,153206.453125
349,152979.671875
350,152685.21875
351,152435.421875
352,152177.28125
353,151941.859375
354,151687.546875
355,151452.25
356,151209.640625
357,150962.21875
358,150711.03125
359,150458.40625
360,150278.484375
361,149975.25
362,149742.734375
363,149505.015625
364,149259.734375
365,149016.671875
366,148797.484375
367,148577.8125
368,148346.234375
369,148102.734375
370,147849.828125
371,147686.6875
372,147409.625
