,me_change
399,3125591.0
400,3121206.5
401,3116673.0
402,3110584.75
403,3104565.0
404,3098499.0
405,3094093.0
406,3087528.0
407,3082655.75
408,3076484.0
409,3070427.25
410,3064015.25
411,3059091.0
412,3053433.25
413,3049041.25
414,3043929.25
415,3037939.5
416,3031019.0
417,3026850.75
418,3018876.5
419,3013311.0
420,3006986.25
421,3001174.75
422,2996561.25
423,2991114.0
424,2984378.0
425,2977342.75
426,2972936.5
427,2967547.5
428,2960572.5
429,2956414.25
430,2947618.0
431,2941703.75
432,2938942.25
433,2934456.0
434,2927666.5
435,2916646.25
436,2909073.25
437,2899058.25
438,2885791.0
439,2878003.5
440,2868955.25
441,2865089.75
442,2850573.75
443,2842484.0
444,2834702.75
445,2826413.75
446,2817154.5
447,2807127.25
448,2798783.0
449,2792692.5
450,2784056.25
451,2776478.75
452,2768767.75
453,2761261.5
454,2753701.5
455,2744588.25
456,2734602.75
457,2724352.5
458,2716318.5
459,2712312.0
460,2701913.5
461,2696714.5
462,2691480.5
463,2684654.25
464,2676301.75
465,2669146.5
466,2671891.5
467,2662645.0
468,2654325.75
469,2652620.75
470,2649439.25
471,2643699.0
472,2635693.0
473,2627248.0
474,2623882.25
475,2618081.0
476,2611677.5
477,2608737.0
478,2605176.75
479,2598945.25
480,2591652.75
481,2584835.0
482,2580056.5
483,2575062.75
484,2571302.75
485,2566510.25
486,2562840.25
487,2558402.0
488,2553299.5
489,2547628.5
490,2543037.5
491,2538043.5
492,2533849.5
493,2529149.25
494,2524824.25
495,2521152.5
496,2517450.25
497,2512837.0
498,2507499.75
499,2502625.25
500,2496745.0
501,2491683.25
502,2486042.75
503,2479886.5
504,2473654.75
505,2467492.0
506,2461585.25
507,2456516.75
508,2449951.5
509,2446071.5
510,2444015.25
511,2441939.25
512,2439674.25
513,2436481.75
514,2432647.25
515,2427801.75
516,2422500.75
517,2417019.5
518,2412705.75
519,2412066.5
520,2404366.75
521,2400273.75
522,2397217.25
523,2394579.25
524,2390733.25
525,2387111.25
526,2383434.0
527,2379844.0
528,2378897.5
529,2373841.25
530,2371400.25
531,2368811.0
532,2366104.0
533,2363116.5
534,2360015.0
535,2356773.25
536,2354304.25
537,2351508.75
538,2349669.25
539,2347499.5
540,2344761.25
541,2341618.0
542,2338492.25
543,2337465.75
544,2333614.5
545,2331736.75
546,2329584.75
547,2327079.5
548,2324149.0
549,2321639.5
550,2319831.0
551,2318261.25
552,2316033.75
553,2313208.75
554,2310020.75
555,2312392.0
556,2307400.75
557,2305555.25
558,2305786.75
559,2304900.75
560,2301941.0
561,2297854.0
562,2293286.0
563,2297367.75
564,2295317.25
565,2286934.75
566,2286603.0
567,2285324.25
568,2282926.0
569,2279643.75
570,2280411.0
571,2277285.0
572,2275006.5
573,2274756.0
574,2273155.5
575,2270231.75
576,2266235.5
577,2268528.0
578,2265748.5
579,2261515.75
580,2261817.25
581,2260475.75
582,2257305.25
583,2252958.0
584,2259113.25
585,2257458.0
586,2248343.5
587,2252446.0
588,2255894.75
589,2255722.0
590,2251157.25
591,2245038.5
592,2238934.75
593,2239830.25
594,2238212.25
595,2238166.25
596,2236720.75
597,2234070.5
598,2233200.5
599,2230033.25
600,2230472.25
601,2231219.75
602,2228696.5
603,2228944.5
604,2226332.0
605,2228083.25
606,2229013.25
607,2227445.0
608,2224841.75
609,2224031.5
610,2221684.5
611,2223584.0
612,2224561.0
613,2223893.5
614,2221711.75
615,2217581.75
616,2214836.5
617,2213172.25
618,2215139.5
619,2215129.25
620,2208735.0
621,2207763.25
622,2209339.0
623,2208879.25
624,2206359.5
625,2208048.75
626,2205227.25
627,2204690.75
628,2206819.25
629,2205069.5
630,2199341.75
631,2203352.5
632,2203140.25
633,2195815.25
634,2204056.0
635,2206444.0
636,2201151.5
637,2191973.75
638,2199514.5
639,2202347.75
640,2196504.75
641,2190652.25
642,2192912.75
643,2193273.75
644,2189995.25
645,2184697.75
646,2187306.25
647,2188287.5
648,2182616.25
649,2184119.25
650,2184963.0
651,2179253.5
652,2179517.5
653,2180836.25
654,2174997.25
655,2178910.25
656,2181926.25
657,2180995.0
658,2177106.75
659,2171303.75
660,2174690.25
661,2175587.25
662,2170152.25
663,2166799.5
664,2169919.25
665,2166959.5
666,2162269.5
667,2162182.25
668,2159518.0
669,2159069.5
670,2156709.5
671,2157626.25
672,2156365.0
673,2153418.25
674,2153242.5
675,2151732.5
676,2152425.5
677,2149504.75
678,2150687.75
679,2150024.0
680,2145700.25
681,2139912.25
682,2137512.75
683,2135432.0
684,2135400.75
685,2134754.75
686,2133289.5
687,2131200.5
688,2128484.5
689,2125119.5
690,2123909.75
691,2118705.5
692,2117619.5
693,2115006.5
694,2115594.75
695,2113514.5
696,2108078.5
697,2105680.75
698,2103455.5
699,2100842.0
700,2099770.25
701,2097797.5
702,2094536.25
703,2095230.625
704,2090725.0
705,2091221.375
706,2090968.375
707,2088052.5
708,2082718.375
709,2086938.25
710,2078844.5
711,2083048.125
712,2083841.0
713,2080456.75
714,2072578.125
715,2081657.0
716,2078347.25
717,2069290.5
718,2071811.625
719,2070462.25
720,2066186.0
721,2061899.125
722,2060554.875
723,2055780.875
724,2054921.0
725,2048741.75
726,2058093.875
727,2050918.375
728,2048657.0
729,2051406.0
730,2045066.625
731,2032364.75
732,2048278.75
733,2048345.25
734,2030431.875
735,2029081.0
736,2034976.0
737,2033677.375
738,2028902.75
739,2018899.125
740,2002833.25
741,2011828.75
742,2002499.0
743,1995813.875
744,1995675.75
745,1989781.75
746,1982378.0
747,1972268.375
748,1959645.0
749,1938732.5
750,1920370.625
751,1901108.0
752,1887525.375
753,1875248.5
754,1868401.375
755,1859863.75
756,1851986.875
757,1848143.0
758,1844515.0
759,1840676.125
760,1834739.875
761,1828738.875
762,1821469.625
763,1813050.125
764,1799142.25
765,1782770.875
766,1766628.375
767,1748207.0
768,1723829.25
769,1690955.75
770,1642452.75
771,1606235.25
772,1606226.625
773,1622664.125
774,1607754.5
775,1601131.5
776,1603266.375
777,1603537.375
778,1602630.875
779,1597761.0
780,1591571.0
781,1584425.0
