,me,re,nc
0,0.0009734649211168289,35.89338292428132,977
1,0.0009860587306320667,40.425431157054845,1226
2,0.0009395182132720947,25.682555024464595,37400
3,0.0009899158030748367,22.71904915792669,1093
4,0.0009797289967536926,30.579698496925815,14686
5,0.0009753946214914322,38.54463242906103,23945
6,0.0009932686807587743,23.407791370896586,3625
7,0.0009231735020875931,46.55084594807644,36360
8,0.000993087887763977,14.7633753575798,2454
9,0.0009839776903390884,28.872023396726167,21691
10,0.000998079776763916,37.22170298396401,2541
11,0.000994386151432991,19.096386046985128,12478
12,0.0009981640614569187,46.48291730345702,1026
13,0.000992514193058014,37.08453956540265,4268
14,0.0007214546203613281,15.60530145583426,238
15,0.0009894967079162598,33.06378621931606,924
16,0.0009634494781494141,32.28350686243431,614
17,0.0009805336594581604,35.29897682013332,3374
18,0.0009860768914222717,18.18475889683373,563
19,0.0009504375047981739,23.413639136923273,1501
20,0.0009925663471221924,44.48558013822185,9445
21,0.0005315318703651428,46.050715860435254,6544
22,0.0009932313114404678,20.815095137425804,3368
23,0.0009753922931849957,21.992057766584793,3267
24,0.000998079776763916,28.909694634463484,5127
25,0.0009557008743286133,52.79491547376692,11431
26,0.0009959760354831815,18.180043092005224,2741
27,15729547.0,59.669745098742446,100000
28,0.0009717121720314026,53.965065774821426,628
29,0.0009939848678186536,20.900655331584264,2798
30,0.0009796214289963245,33.303992817134414,3278
31,0.0009997189044952393,42.31363784639243,2551
32,0.0006085634231567383,23.270727418431992,272
33,0.0009853914380073547,27.86876413693571,6487
34,0.0009878650307655334,47.47059179031366,14251
35,0.0009830296039581299,21.717957574213685,2687
36,0.000983968609943986,41.50710873394416,7295
37,0.0009736922802403569,48.22329135938566,28410
38,0.000977173913270235,28.81889856421905,5817
39,0.0009757588850334287,35.12163286779677,11573
40,0.0009770989418029785,18.389756686847694,20194
41,0.000998079776763916,36.84052530634312,3306
42,0.000982232391834259,16.99671559431115,77181
43,0.0009808037430047989,23.81991704985602,156
44,0.0009665089892223477,22.801225842594416,6175
45,0.000997573253698647,31.682064548482863,4824
46,0.00099136121571064,30.34247408074099,9450
47,0.0009920969605445862,29.49016879932071,4258
48,0.000979013741016388,22.78265128619268,5211
49,0.0009892657399177551,42.88781230922014,4985
50,0.000984554528258741,24.733556778676217,5103
51,0.0009690560982562602,58.863062370867866,1455
52,0.00099177286028862,36.42726974791315,3451
53,0.0009854683885350823,22.229075236393292,2204
54,0.000997006893157959,30.934954167161333,13437
55,0.0009788833558559418,42.080437706343886,6382
56,0.0009705076809041202,54.35350216383456,1588
57,4084423.25,26.482797823086077,100000
58,0.0008914558566175401,44.184210978144286,21369
59,0.000998390489257872,22.347822249700716,5312
60,0.0009908530628308654,38.49104997614513,10795
61,0.0009915741393342614,24.018365192792512,27125
62,0.0009978612652048469,39.34898916289343,26001
63,0.000986675382591784,59.77554820765437,9318
64,0.0009978689486160874,34.32411023589298,3332
65,0.000998854637145996,22.038320580616176,1418
66,0.000984740792773664,35.208627400199326,7689
67,0.0009827576577663422,20.26589336113681,2932
68,0.0007265011663548648,32.47309831972709,32730
69,0.0008966128225438297,54.71200036911807,391
70,2822875.0,29.070037773753306,100000
71,0.0009835161035880446,26.884523077385634,3543
72,0.0009885082254186273,14.601430407601768,1045
73,0.0009963115444406867,34.13376655015258,3511
74,0.0009998508030548692,34.15794740628204,1174
75,0.0009963512420654297,44.165188263429386,10700
76,0.0009603959624655545,34.38891638414364,26746
77,0.0009754697675816715,22.42327217526282,2309
78,0.0009665948455221951,25.989334498736437,13366
79,0.0009931549429893494,30.618110192555942,1837
80,0.0009967336663976312,34.147591856256014,15676
81,1163253.5,48.047243710612044,100000
82,0.0003854731621686369,52.10100645921312,187
83,0.000992998480796814,35.002941863637474,3657
84,0.0009929934749379754,24.646507882361053,79646
85,0.0009731501340866089,34.10048533814997,8959
86,0.0009662409429438412,28.710266303071485,1024
87,0.0009951271349564195,36.42249835073492,3483
88,1619461.625,44.13342209492468,100000
89,0.0009029905195347965,32.99047275518105,4760
90,0.0008961735293269157,38.85270031460808,49729
91,0.000986596685834229,33.87404632186327,2439
92,0.0009553323616273701,20.468331236868316,876
93,0.000992284738458693,38.19227811604933,9805
